account_id,creative_id,ad_id,creative_name,url_link
912926672398208,23843802113680065,23843797036420065,Test-drive VMware Cloud Networking Solutions with a Hand 2019-09-06-bd2e0eedeb9809dcbe7948a8b6f31f3b,https://www.vmware.com/try-vmware/try-cn-hands-on-labs.html?src=sp_5d6ec9520a418&cid=7012H0000021OYf
950356475315006,23843931003740478,23843930968090478,VMware 2019-10-08-6dda4760d7cb2b43307916527a9890bc,https://www.vmware.com/learn/311908_REG.html?src=sp_5d828d0172016&cid=7012H0000021Oz7
950356475315006,23843931003730478,23843930968020478,VMware 2019-10-08-4553175ef128a776ed5f4796431d9b97,https://www.vmware.com/learn/311908_REG.html?src=sp_5d828d0172016&cid=7012H0000021Oz7
950356475315006,23843933212160478,23843931000560478,VMware – Cloud 2019-10-09-2a735cd8bf694f639ff11b8ec8c18acc,http://learn.vmware.com/42443_REG?src=sp_5d82913cdbcf5&cid=7012H0000021OzC
950356475315006,23843933237230478,23843930968040478,VMware 2019-10-09-17c83668730f7b7d292a9d98f4f2ed97,https://www.vmware.com/learn/50344_REG.html?src=sp_5d82955b52f60&cid=7012H0000021OzH
950356475315006,23843872875230478,23843869916250478,VMware 2019-09-19-f82a5ed2a9a6bed9019250d13897013e,https://www.vmware.com/learn/311908_REG.html?src=sp_5d828d0172016&cid=7012H0000021Oz7
950356475315006,23843872875610478,23843867110270478,VMware 2019-09-19-fcf6d28b47ac6592e2332a05bfc3fdb6,https://www.vmware.com/learn/311908_REG.html?src=sp_5d828d0172016&cid=7012H0000021Oz7
950356475315006,23843872874730478,23843870155220478,{{product.name}} 2019-09-19-a782a8a35f8733d6e3e2253b01d4e753,
950356475315006,23843872874720478,23843869947080478,{{product.name}} 2019-09-19-f3b41576b3f05dc5fed9de21ceaa5791,
950356475315006,23843872875430478,23843869948260478,VMware 2019-09-19-bf72aa48c8531c9b9047a60cd96e875e,https://www.vmware.com/learn/50344_REG.html?src=sp_5d82955b52f60&cid=7012H0000021OzH
950356475315006,23843872874880478,23843869948250478,VMware 2019-09-19-087c9947d9d42ffb8241674a5a0aad46,https://www.vmware.com/learn/50344_REG.html??src=sp_5d82955b52f60&cid=7012H0000021OzH
2698419430385347,23843989128500619,23844000348870619,{{product.name}} 2020-01-06-5cc75adb43236b47757b7fc64a60c39b,
